carat,clarity,color,cut,depth,table,x,y,z,class,volume
0.3,7,2,4,61.8,55.0,4.32,4.35,2.68,"[0, 5000]",50.362562151603676
0.5,3,0,3,62.8,58.0,5.08,5.05,3.18,"[0, 5000]",81.57972356859206
0.36,4,2,4,60.1,56.0,4.65,4.69,2.8,"[0, 5000]",61.063800957465155
0.31,7,3,4,61.7,55.0,4.37,4.39,2.7,"[0, 5000]",51.79760798297404
0.59,6,3,4,61.5,57.0,5.36,5.4,3.31,"[0, 5000]",95.8046424222183
0.71,3,1,4,62.9,55.0,5.76,5.72,3.61,"[0, 5000]",118.9393889072569
1.02,6,1,2,60.2,60.0,6.39,6.54,3.89,"(10000, 15000]",162.56543403909865
0.6,1,0,3,61.3,61.0,5.46,5.4,3.33,"[0, 5000]",98.1817201704597
0.51,5,3,1,63.7,54.0,5.08,5.1,3.24,"[0, 5000]",83.94191741672518
1.7,3,6,3,61.0,59.0,7.66,7.62,4.66,"(5000, 10000]",272.00045359025614
0.3,4,3,3,62.0,60.0,4.31,4.27,2.66,"[0, 5000]",48.95384271101091
0.56,3,3,4,62.0,56.0,5.3,5.28,3.28,"[0, 5000]",91.78752614990242
0.7,2,3,2,60.7,58.0,5.7,5.73,3.47,"[0, 5000]",113.33366751929279
1.03,4,4,3,59.2,58.0,6.66,6.61,3.92,"[0, 5000]",172.56859489060966
0.3,4,3,3,62.9,60.0,4.22,4.18,2.64,"[0, 5000]",46.56854162274544
0.54,1,3,4,62.3,58.0,5.17,5.2,3.23,"[0, 5000]",86.83531860910409
0.31,4,3,3,61.2,59.0,4.35,4.37,2.67,"[0, 5000]",50.75536400839802
0.52,3,1,4,61.7,56.0,5.16,5.21,3.2,"[0, 5000]",86.02751936784739
1.0,3,3,3,62.0,57.0,6.43,6.37,3.97,"(5000, 10000]",162.60762090937712
0.32,3,6,3,61.9,58.0,4.35,4.38,2.7,"[0, 5000]",51.44310112481115
0.71,1,0,4,61.0,56.0,5.77,5.8,3.53,"[0, 5000]",118.13498253692623
0.9,2,3,1,64.2,58.0,6.01,6.04,3.87,"[0, 5000]",140.4825483085669
1.6,4,6,4,62.1,57.0,7.46,7.54,4.66,"(5000, 10000]",262.1175354313965
0.91,1,3,2,63.3,57.0,6.12,6.08,3.86,"[0, 5000]",143.62904760845962
1.43,2,1,0,65.1,56.0,7.1,7.03,4.61,"(5000, 10000]",230.09894044064524
1.01,2,0,4,61.4,59.0,6.4,6.44,3.94,"(5000, 10000]",162.39104622108468
0.52,5,2,4,61.6,57.0,5.16,5.2,3.19,"[0, 5000]",85.59407586463928
0.31,5,0,4,60.9,57.0,4.38,4.42,2.68,"[0, 5000]",51.883731543582996
1.01,3,2,2,59.1,59.0,6.58,6.65,3.91,"(5000, 10000]",171.0898742255306
0.3,3,2,4,62.5,55.0,4.27,4.31,2.68,"[0, 5000]",49.32191635345743
0.36,7,4,4,61.9,57.0,4.55,4.6,2.83,"[0, 5000]",59.231899658155356
0.7,3,0,4,61.2,57.0,5.69,5.75,3.5,"[0, 5000]",114.51125115156174
1.13,1,2,0,64.4,56.0,6.58,6.52,4.22,"[0, 5000]",181.04474037007918
0.59,7,3,4,62.5,57.0,5.34,5.38,3.35,"[0, 5000]",96.24282205749503
0.7,2,3,2,62.8,56.0,5.64,5.66,3.55,"[0, 5000]",113.32451274000182
1.12,2,5,3,60.6,60.0,6.77,6.73,4.09,"[0, 5000]",186.34899595534515
1.11,1,2,4,61.7,55.0,6.66,6.63,4.1,"[0, 5000]",181.0387747661018
0.82,1,3,4,61.0,55.0,6.04,5.99,3.67,"[0, 5000]",132.7791288481101
0.24,5,2,2,61.9,56.0,4.0,4.02,2.48,"[0, 5000]",39.878400117492674
0.83,4,3,3,58.8,58.0,6.2,6.15,3.63,"[0, 5000]",138.41190225191104
0.3,2,2,4,61.4,58.0,4.3,4.33,2.65,"[0, 5000]",49.3403530948639
0.33,4,4,4,60.2,57.0,4.5,4.54,2.72,"[0, 5000]",55.56960011758804
0.31,5,1,4,61.7,56.0,4.33,4.36,2.68,"[0, 5000]",50.59518591817092
1.16,4,1,3,58.7,58.0,6.89,6.87,4.04,"(5000, 10000]",191.23056330314267
0.31,6,2,4,62.3,54.0,4.34,4.36,2.71,"[0, 5000]",51.27970809506618
1.01,1,1,3,62.5,60.0,6.42,6.39,4.0,"[0, 5000]",164.0951985214233
0.42,3,3,4,61.7,57.0,4.8,4.83,2.97,"[0, 5000]",68.85648231176374
0.77,4,5,2,62.2,59.0,5.83,5.85,3.63,"[0, 5000]",123.80296526467315
0.5,4,0,2,62.3,57.0,5.04,5.07,3.15,"[0, 5000]",80.49132455297475
0.56,2,3,4,63.0,55.0,5.26,5.22,3.3,"[0, 5000]",90.6087589916037
0.9,1,3,2,62.2,60.0,6.09,6.2,3.82,"[0, 5000]",144.23555665605537
0.9,3,6,1,64.0,61.0,6.04,6.03,3.86,"[0, 5000]",140.5858321829184
0.39,5,4,2,62.1,58.0,4.63,4.65,2.88,"[0, 5000]",62.00496526811614
0.35,1,0,2,63.3,55.0,4.49,4.45,2.83,"[0, 5000]",56.544808169575006
1.2,2,5,4,62.1,55.0,6.83,6.79,4.23,"(5000, 10000]",196.1692085911541
1.34,4,6,4,62.0,57.0,7.12,7.04,4.39,"(5000, 10000]",220.04786057839982
0.41,5,3,4,61.3,56.0,4.77,4.79,2.93,"[0, 5000]",66.945519724452
0.41,1,0,4,62.6,57.0,4.72,4.77,2.97,"[0, 5000]",66.86776540442847
1.08,2,4,2,61.8,53.0,6.62,6.63,4.09,"(5000, 10000]",179.5125606924934
1.05,3,3,4,61.6,59.0,6.51,6.54,4.02,"(5000, 10000]",171.1531122071113
0.23,4,1,2,61.3,56.0,3.96,3.98,2.43,"[0, 5000]",38.29874560462191
0.31,5,5,2,62.5,55.0,4.33,4.36,2.71,"[0, 5000]",51.161549385408385
1.55,2,6,3,62.5,58.0,7.4,7.36,4.61,"(5000, 10000]",251.079055062218
0.82,1,2,3,59.7,57.0,6.14,6.12,3.66,"[0, 5000]",137.5310856628646
0.43,3,3,3,62.3,58.0,4.81,4.85,3.01,"[0, 5000]",70.21878256145003
0.32,6,4,4,62.0,55.0,4.42,4.45,2.75,"[0, 5000]",54.08974861526485
0.34,2,0,3,62.7,59.0,4.42,4.45,2.78,"[0, 5000]",54.67981803742406
0.39,7,3,4,60.1,57.0,4.74,4.77,2.85,"[0, 5000]",64.43792447456373
1.0,3,1,0,65.0,58.0,6.21,6.16,4.02,"(5000, 10000]",153.77946840577698
0.65,4,3,1,60.0,60.4,5.6,5.7,3.39,"[0, 5000]",108.20879788484562
0.41,2,4,2,62.9,55.0,4.75,4.82,3.01,"[0, 5000]",68.9139522359848
0.7,6,5,2,59.5,58.0,5.78,5.81,3.45,"[0, 5000]",115.8572146657753
1.46,4,3,3,62.3,58.0,7.25,7.2,4.5,"(10000, 15000]",234.89999377727509
1.04,2,2,1,63.6,59.0,6.4,6.36,4.06,"(5000, 10000]",165.25824360267637
2.01,2,3,2,62.1,60.0,7.94,8.03,4.96,15000+,316.24066619496904
1.1,1,1,4,61.6,56.0,6.61,6.64,4.08,"(5000, 10000]",179.07282866777032
0.51,2,1,2,63.2,61.0,5.08,5.05,3.2,"[0, 5000]",82.09280309095381
0.76,2,5,4,62.3,57.0,5.81,5.87,3.64,"[0, 5000]",124.14110793486492
0.41,1,0,4,62.6,55.0,4.76,4.8,2.99,"[0, 5000]",68.31552621742263
0.24,5,1,2,62.4,58.0,3.96,3.99,2.48,"[0, 5000]",39.184992772499086
0.37,4,2,4,61.0,55.0,4.66,4.69,2.85,"[0, 5000]",62.28788663608553
0.53,1,3,2,60.9,55.0,5.26,5.29,3.21,"[0, 5000]",89.31953830397798
0.52,2,2,4,61.5,57.0,5.12,5.16,3.16,"[0, 5000]",83.48466993280023
0.53,3,4,4,61.6,55.0,5.23,5.25,3.23,"[0, 5000]",88.6877258471489
1.55,3,4,2,61.3,61.0,7.39,7.46,4.55,"(10000, 15000]",250.83877726589188
1.0,3,1,2,62.4,62.0,6.33,6.39,3.97,"(5000, 10000]",160.58133486656857
0.41,5,0,4,62.1,56.0,4.78,4.76,2.96,"[0, 5000]",67.3482950624697
1.03,1,0,4,61.8,54.0,6.52,6.46,4.01,"(5000, 10000]",168.89800214358905
0.5,3,0,2,60.8,56.0,5.14,5.16,3.13,"[0, 5000]",83.01511042401876
0.51,5,3,4,61.3,57.0,5.12,5.15,3.15,"[0, 5000]",83.05920219621655
0.5,3,2,1,63.3,57.0,5.01,5.07,3.19,"[0, 5000]",81.02824089868952
0.57,4,1,4,61.3,57.0,5.34,5.37,3.28,"[0, 5000]",94.05662386274523
0.53,5,3,4,62.2,54.0,5.17,5.22,3.23,"[0, 5000]",87.16930029749483
1.08,1,2,3,60.2,59.0,6.65,6.6,3.99,"[0, 5000]",175.12110039954183
2.03,1,6,3,60.9,60.0,8.21,8.1,4.97,"(10000, 15000]",330.50997314859325
0.23,5,4,3,59.2,61.0,4.04,4.0,2.38,"[0, 5000]",38.46080148620604
2.01,1,2,4,62.9,56.0,8.05,7.9,5.02,"(10000, 15000]",319.24691020507817
0.5,3,1,3,61.0,59.0,5.13,5.07,3.11,"[0, 5000]",80.88830281474391
0.31,6,2,4,62.1,54.0,4.35,4.38,2.71,"[0, 5000]",51.63363094390866
0.3,7,3,4,62.4,55.0,4.32,4.34,2.7,"[0, 5000]",50.62176468532576
0.72,3,4,4,61.2,57.0,5.79,5.77,3.54,"[0, 5000]",118.26537955545045
1.38,1,3,3,58.3,59.0,7.34,7.27,4.26,"(5000, 10000]",227.32128434282706
1.54,3,3,3,61.8,58.0,7.43,7.39,4.58,"(10000, 15000]",251.47725145737485
0.32,3,2,4,61.9,57.0,4.36,4.37,2.71,"[0, 5000]",51.634172955804786
0.31,2,0,4,61.8,56.0,4.34,4.37,2.69,"[0, 5000]",51.01800354289623
1.26,3,2,2,61.4,59.0,6.86,6.96,4.24,"(5000, 10000]",202.44133812152074
0.4,3,0,1,63.5,55.0,4.66,4.69,2.97,"[0, 5000]",64.91053729178806
2.06,1,3,3,61.8,58.0,8.15,8.1,5.02,15000+,331.39529883661197
0.72,4,2,4,61.7,57.0,5.77,5.74,3.55,"[0, 5000]",117.57528334376343
0.31,6,1,3,61.8,59.0,4.31,4.33,2.67,"[0, 5000]",49.82834088432118
0.44,1,4,3,58.4,60.0,5.05,4.99,2.93,"[0, 5000]",73.8345360842751
1.1,2,6,4,61.5,55.0,6.65,6.68,4.1,"[0, 5000]",182.1301936951637
1.51,5,3,4,60.5,56.0,7.45,7.42,4.5,15000+,248.75549618911737
0.57,5,1,4,62.3,54.0,5.3,5.35,3.32,"[0, 5000]",94.13859981684675
0.58,4,3,3,61.5,58.0,5.35,5.41,3.31,"[0, 5000]",95.80297893398297
0.9,2,1,2,61.6,57.0,6.19,6.25,3.83,"[0, 5000]",148.1731234180927
2.02,3,6,3,61.1,58.0,8.04,8.1,4.93,"(10000, 15000]",321.0613224177927
0.76,4,5,2,59.8,61.0,5.92,5.96,3.55,"[0, 5000]",125.25536073348997
0.25,3,3,2,61.9,57.0,4.05,4.08,2.51,"[0, 5000]",41.475241020126305
0.9,2,2,1,63.9,58.0,6.08,6.03,3.87,"[0, 5000]",141.88348696062454
0.38,7,2,4,62.2,54.0,4.64,4.69,2.9,"[0, 5000]",63.108641029376926
1.01,5,0,2,63.0,56.0,6.35,6.41,4.02,"(10000, 15000]",163.6280628710843
1.39,1,2,1,63.8,55.0,7.05,7.08,4.51,"(5000, 10000]",225.1121550889207
0.27,3,2,4,60.3,56.0,4.24,4.27,2.56,"[0, 5000]",46.34828425505073
1.01,1,2,2,62.5,58.0,6.39,6.41,4.0,"[0, 5000]",163.83959267654427
0.51,4,1,4,61.4,56.0,5.14,5.16,3.16,"[0, 5000]",83.81078162100977
2.0,1,3,1,64.3,56.0,7.93,7.89,5.09,"(10000, 15000]",318.4695902639997
1.12,4,3,4,62.5,54.0,6.65,6.69,4.17,"(5000, 10000]",185.51705264144908
1.0,1,0,2,63.2,56.0,6.38,6.33,4.02,"[0, 5000]",162.34930818508525
0.31,3,2,4,61.9,55.0,4.35,4.31,2.68,"[0, 5000]",50.245979482951135
0.71,2,2,3,59.8,61.0,5.81,5.79,3.47,"[0, 5000]",116.73045204374218
0.41,7,3,2,60.9,59.0,4.8,4.85,2.94,"[0, 5000]",68.44320270595549
1.52,3,3,3,62.0,58.0,7.39,7.33,4.56,"(10000, 15000]",247.0092618667661
1.5,2,3,2,60.1,61.0,7.28,7.4,4.41,"(10000, 15000]",237.5755216884229
0.4,3,1,2,62.2,58.0,4.67,4.72,2.92,"[0, 5000]",64.36380787218467
1.04,2,2,4,61.3,56.0,6.55,6.5,4.0,"(5000, 10000]",170.30000495910645
0.33,3,5,4,62.4,56.0,4.43,4.39,2.75,"[0, 5000]",53.48117130107886
1.24,5,3,4,61.4,58.0,6.88,6.92,4.24,"(10000, 15000]",201.8646986864011
1.0,3,3,1,63.1,61.0,6.33,6.38,4.01,"(5000, 10000]",161.94546419648364
0.58,3,3,4,62.3,53.7,5.35,5.38,3.34,"[0, 5000]",96.13521786080356
0.47,2,6,4,61.9,55.0,5.0,5.05,3.11,"[0, 5000]",78.52750031709661
0.31,6,4,3,62.6,58.0,4.33,4.29,2.7,"[0, 5000]",50.15438955606936
0.9,2,1,4,62.0,56.0,6.18,6.2,3.84,"(5000, 10000]",147.1334280980304
0.41,4,1,4,61.7,55.0,4.75,4.78,2.94,"[0, 5000]",66.75270422916418
1.08,1,3,3,60.7,60.0,6.64,6.61,4.02,"[0, 5000]",176.43940717895882
0.23,5,1,2,59.0,63.0,3.98,4.05,2.37,"[0, 5000]",38.202030137529285
0.38,4,1,4,60.7,56.0,4.7,4.72,2.86,"[0, 5000]",63.446232277794195
0.31,3,2,3,62.7,59.0,4.3,4.34,2.71,"[0, 5000]",50.57402473331465
1.55,2,2,4,61.9,55.0,7.47,7.42,4.61,"(10000, 15000]",255.52031685092143
0.32,6,3,4,62.4,55.0,4.38,4.37,2.73,"[0, 5000]",52.2538383619537
1.41,2,4,2,62.9,57.0,7.04,7.08,4.44,"(5000, 10000]",221.3038072681274
0.31,6,2,4,61.8,56.0,4.36,4.34,2.69,"[0, 5000]",50.90126043108762
0.3,3,4,3,62.3,58.0,4.31,4.33,2.69,"[0, 5000]",50.20158651683424
0.44,3,5,2,62.5,57.0,4.85,4.88,3.04,"[0, 5000]",71.95071936965938
0.54,4,0,3,60.5,58.0,5.27,5.21,3.17,"[0, 5000]",87.0377414170475
0.3,2,2,3,60.9,58.0,4.37,4.3,2.64,"[0, 5000]",49.608242872591
1.56,1,1,4,61.2,56.0,7.53,7.49,4.59,"(5000, 10000]",258.874630908159
2.01,1,2,4,61.9,55.0,8.1,8.05,5.0,15000+,326.0250230789188
0.7,4,6,3,60.9,58.0,5.73,5.66,3.47,"[0, 5000]",112.53834426856801
0.31,7,2,4,62.2,56.0,4.31,4.34,2.69,"[0, 5000]",50.31752817139435
0.54,4,2,2,61.6,59.0,5.26,5.2,3.22,"[0, 5000]",88.0734413844298
0.41,3,2,4,62.8,57.0,4.76,4.73,2.98,"[0, 5000]",67.09410792617038
0.36,4,1,4,61.4,54.0,4.59,4.63,2.83,"[0, 5000]",60.14231286452098
0.5,2,1,4,61.6,57.0,5.09,5.13,3.15,"[0, 5000]",82.25186179083843
1.52,3,6,1,63.1,61.0,7.19,7.23,4.55,"(5000, 10000]",236.52584742143642
0.5,5,2,2,60.8,59.0,5.08,5.11,3.1,"[0, 5000]",80.47227841838831
0.38,2,3,2,62.0,54.8,4.64,4.67,2.89,"[0, 5000]",62.62283349426836
1.0,4,2,4,61.9,57.0,6.41,6.39,3.96,"(5000, 10000]",162.20119831227495
1.11,4,6,2,59.9,56.0,6.8,6.77,4.07,"(5000, 10000]",187.36653263021486
0.8,4,3,2,62.7,56.0,5.9,5.94,3.71,"[0, 5000]",130.02066469104773
1.01,2,2,2,62.7,57.0,6.32,6.38,3.98,"(5000, 10000]",160.47997600656902
0.51,4,3,4,62.5,57.0,5.14,5.07,3.19,"[0, 5000]",83.13076414644807
0.31,2,2,3,60.6,60.0,4.37,4.34,2.64,"[0, 5000]",50.06971443874929
0.32,4,1,1,64.3,59.0,4.28,4.34,2.77,"[0, 5000]",51.45330797700125
0.36,3,3,4,62.3,54.0,4.59,4.62,2.87,"[0, 5000]",60.86064408884804
0.3,4,1,4,62.1,58.0,4.27,4.3,2.66,"[0, 5000]",48.84026352417951
0.3,2,0,4,61.0,58.0,4.32,4.33,2.64,"[0, 5000]",49.38278705447389
0.45,4,3,4,62.8,58.0,4.83,4.88,3.05,"[0, 5000]",71.889719426403
1.01,2,2,3,62.5,58.0,6.42,6.39,4.0,"[0, 5000]",164.0951985214233
1.01,5,3,3,61.4,58.0,6.46,6.51,3.98,"(5000, 10000]",167.37731567524344
0.58,5,3,2,62.1,58.0,5.35,5.4,3.34,"[0, 5000]",96.49259750442502
0.52,2,2,4,61.8,55.0,5.19,5.15,3.2,"[0, 5000]",85.53120380136973
0.71,2,2,1,64.3,57.0,5.62,5.55,3.59,"[0, 5000]",111.97568889090526
2.08,1,5,1,63.8,58.0,8.02,8.1,5.14,"(10000, 15000]",333.9047061104202
0.34,5,3,3,61.2,59.0,4.5,4.46,2.74,"[0, 5000]",54.99180066175461
1.02,3,2,3,62.4,59.0,6.4,6.45,4.01,"(5000, 10000]",165.53280701985338
0.44,1,4,3,59.3,60.0,5.01,4.98,2.96,"[0, 5000]",73.85141260851294
0.77,6,3,2,62.7,54.0,5.84,5.89,3.67,"[0, 5000]",126.23919506112664
0.7,4,3,2,63.0,60.0,5.57,5.64,3.53,"[0, 5000]",110.89424389368239
0.36,2,0,1,63.2,56.0,4.52,4.56,2.87,"[0, 5000]",59.15414064933018
1.03,1,3,2,63.9,59.0,6.33,6.39,4.07,"[0, 5000]",164.62621051953488
0.9,1,1,2,62.6,58.0,6.1,6.16,3.84,"[0, 5000]",144.2918309447481
0.5,3,1,0,65.4,57.0,5.01,4.81,3.21,"[0, 5000]",77.35490453300284
0.75,3,3,4,60.6,55.0,5.91,5.93,3.59,"[0, 5000]",125.8162071014321
0.24,6,3,2,62.3,59.0,3.92,3.95,2.45,"[0, 5000]",37.93580193462375
0.81,7,4,4,61.6,58.0,5.98,6.01,3.69,"[0, 5000]",132.6178695300351
0.32,3,2,4,62.4,57.0,4.38,4.34,2.72,"[0, 5000]",51.705027712680895
0.51,2,4,3,61.9,56.0,5.13,5.12,3.17,"[0, 5000]",83.26195400027844
0.5,4,0,4,62.2,54.4,5.07,5.11,3.16,"[0, 5000]",81.86833913465615
0.71,2,1,3,59.1,61.0,5.84,5.8,3.44,"[0, 5000]",116.51968881439231
0.78,1,3,2,63.7,55.9,5.82,5.85,3.72,"[0, 5000]",126.65484264504428
1.08,2,0,4,61.3,56.0,6.63,6.72,4.09,"(5000, 10000]",182.22422825441532
0.31,2,0,4,61.2,57.0,4.38,4.34,2.67,"[0, 5000]",50.754568560859816
0.92,3,3,1,63.4,57.0,6.17,6.23,3.93,"[0, 5000]",151.06566789655594
1.14,3,2,3,62.0,59.0,6.71,6.64,4.14,"(5000, 10000]",184.45520739104086
1.01,1,1,2,63.3,58.0,6.39,6.37,4.04,"[0, 5000]",164.44536405692685
0.82,2,4,0,64.9,58.0,5.82,5.77,3.76,"[0, 5000]",126.26606698658178
0.28,6,2,2,62.9,57.0,4.13,4.17,2.61,"[0, 5000]",44.949681261265695
0.32,1,3,2,60.7,61.0,4.42,4.47,2.7,"[0, 5000]",53.344979359044956
0.23,6,2,2,60.7,55.0,3.98,4.0,2.42,"[0, 5000]",38.52640139923096
0.46,7,3,4,62.5,57.0,4.89,4.94,3.07,"[0, 5000]",74.16075922153091
0.7,4,5,4,62.4,56.0,5.66,5.68,3.54,"[0, 5000]",113.80674426602953
1.5,0,5,1,62.6,63.0,7.19,7.25,4.52,"[0, 5000]",235.61630088086127
0.91,2,3,3,62.6,58.0,6.17,6.14,3.85,"[0, 5000]",145.85262501906394
0.75,4,5,2,63.3,57.0,5.82,5.74,3.66,"[0, 5000]",122.26888959820158
1.75,3,5,4,61.0,56.0,7.82,7.75,4.75,"(10000, 15000]",287.87375631928444
1.22,3,3,3,61.2,58.0,6.81,6.91,4.2,"(5000, 10000]",197.63980499959976
0.32,1,2,3,59.7,59.0,4.43,4.48,2.66,"[0, 5000]",52.79142388253396
0.91,3,0,4,60.9,57.0,6.26,6.32,3.83,"(5000, 10000]",151.52706263750835
2.04,1,4,3,62.7,56.0,8.12,8.06,5.07,15000+,331.81732783316824
0.57,3,1,4,61.6,56.0,5.33,5.38,3.3,"[0, 5000]",94.62881929102893
2.05,4,6,3,62.5,60.0,8.14,8.09,5.07,15000+,333.8727136834498
0.41,3,3,3,59.7,59.0,4.84,4.81,2.88,"[0, 5000]",67.04755598039249
0.37,3,3,3,59.3,60.0,4.67,4.71,2.78,"[0, 5000]",61.14804686492251
0.52,2,6,2,62.5,59.0,5.14,5.16,3.22,"[0, 5000]",85.40212401499178
0.71,3,1,2,63.2,57.0,5.66,5.63,3.56,"[0, 5000]",113.44224542427439
0.5,5,3,4,61.2,56.0,5.1,5.13,3.13,"[0, 5000]",81.89019328963278
1.66,5,6,3,62.6,59.0,7.58,7.54,4.73,"(10000, 15000]",270.33463300144956
2.01,1,3,3,59.8,58.0,8.21,8.15,4.89,15000+,327.19721227181464
0.3,6,5,3,62.5,60.0,4.27,4.24,2.66,"[0, 5000]",48.158766739143296
0.31,4,4,4,62.4,55.0,4.33,4.36,2.71,"[0, 5000]",51.161549385408385
0.31,5,3,3,61.5,58.0,4.31,4.34,2.66,"[0, 5000]",49.756366694280636
0.7,4,2,3,62.1,60.0,5.71,5.65,3.53,"[0, 5000]",113.88309676006793
0.51,5,3,4,61.6,56.0,5.14,5.12,3.16,"[0, 5000]",83.16108623983759
1.51,3,2,1,64.0,59.0,7.16,7.08,4.56,"(5000, 10000]",231.15915768209854
1.02,1,2,3,59.9,59.0,6.56,6.59,3.94,"[0, 5000]",170.32778093180465
0.35,2,0,3,62.1,58.0,4.51,4.54,2.81,"[0, 5000]",57.53587526488487
1.15,3,3,4,61.6,55.0,6.74,6.76,4.16,"(5000, 10000]",189.5395770286863
0.9,3,5,0,65.8,55.0,6.05,6.01,3.97,"[0, 5000]",144.3511960885575
0.73,1,1,4,60.9,57.0,5.8,5.83,3.54,"[0, 5000]",119.70156108005516
1.08,3,2,3,62.8,59.0,6.55,6.47,4.09,"(5000, 10000]",173.32807089306812
1.05,1,1,2,63.3,57.0,6.5,6.46,4.1,"[0, 5000]",172.15899701213834
1.52,1,0,3,62.8,58.0,7.37,7.28,4.6,"(5000, 10000]",246.806558163719
0.9,2,1,3,60.7,61.0,6.19,6.17,3.75,"[0, 5000]",143.2211280949116
1.08,3,3,4,62.1,57.0,6.57,6.54,4.07,"(5000, 10000]",174.8789569251138
1.5,2,3,2,62.2,58.0,7.21,7.28,4.51,"(5000, 10000]",236.72450808856436
0.9,5,3,1,63.6,58.0,6.11,6.1,3.88,"[0, 5000]",144.61148516448972
0.5,3,0,2,62.8,60.0,5.02,5.08,3.17,"[0, 5000]",80.84007242436978
0.4,6,1,2,62.9,56.0,4.67,4.71,2.95,"[0, 5000]",64.88731763443474
0.31,6,2,4,61.9,55.0,4.37,4.42,2.72,"[0, 5000]",52.537888083623855
0.41,5,1,4,61.4,57.0,4.79,4.76,2.93,"[0, 5000]",66.80517620235065
0.55,3,1,4,60.3,57.0,5.3,5.28,3.19,"[0, 5000]",89.2689683610728
0.8,3,2,4,62.1,56.0,5.93,5.98,3.7,"[0, 5000]",131.207178311243
0.45,5,1,4,61.9,56.0,4.91,4.95,3.05,"[0, 5000]",74.12871868102567
0.92,2,5,3,58.8,59.0,6.36,6.33,3.73,"[0, 5000]",150.16532611036487
0.56,4,1,2,62.0,58.9,5.25,5.29,3.27,"[0, 5000]",90.81607381539345
0.52,4,2,2,61.7,56.0,5.14,5.17,3.18,"[0, 5000]",84.50468482597536
1.0,1,2,2,62.2,55.0,6.39,6.44,3.99,"[0, 5000]",164.19488242061803
0.3,3,6,4,61.9,56.0,4.3,4.33,2.67,"[0, 5000]",49.71273274969101
0.9,2,1,2,61.5,62.0,6.15,6.2,3.8,"[0, 5000]",144.8939959712028
1.0,3,4,1,63.9,57.0,6.32,6.26,4.02,"[0, 5000]",159.04407338034832
1.0,3,1,3,63.0,58.0,6.25,6.22,3.93,"(5000, 10000]",152.77874744176856
0.52,1,1,1,63.7,56.0,5.12,5.15,3.27,"[0, 5000]",86.22335916650769
0.54,1,5,2,62.9,57.0,5.18,5.21,3.27,"[0, 5000]",88.25010320686148
0.71,3,5,4,63.1,57.0,5.66,5.71,3.59,"[0, 5000]",116.02376887331204
0.34,7,3,4,60.1,57.0,4.58,4.54,2.74,"[0, 5000]",56.97336677051926
0.8,1,0,4,61.5,58.0,5.97,6.0,3.68,"[0, 5000]",131.81759775867454
0.68,1,1,2,63.1,54.5,5.61,5.64,3.55,"[0, 5000]",112.32341850548738
1.16,5,3,2,61.6,58.0,6.67,6.73,4.13,"(5000, 10000]",185.3919907831517
0.37,2,0,4,61.9,54.0,4.62,4.65,2.87,"[0, 5000]",61.65620727870939
0.33,3,3,3,59.3,61.0,4.51,4.49,2.67,"[0, 5000]",54.06723453272233
0.32,7,3,4,61.2,57.0,4.43,4.4,2.7,"[0, 5000]",52.62840003080362
1.57,2,2,4,62.4,56.0,7.46,7.41,4.64,"(10000, 15000]",256.4926926493569
